Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.8923552480392,3.92536832553423,3.92032302445388,3.86275941197886,3.58748930492536,3.6121651406375,3.04076637477226,..,..,..
Mexico,MEX,Control of Corruption: Estimate,CC.EST,-0.84264999628067,-0.888690233230591,-0.850071728229523,-0.951904118061066,-0.948684394359589,-0.917184710502625,-0.921504735946655,-1.02031004428864,-1.01186621189117,..
Mexico,MEX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9947.8860235819,10098.1731805195,10161.3557074563,10240.3104246761,10343.3534291048,10226.2313328256,9273.81099988452,9760.44529945868,10077.3833104761,..
Mexico,MEX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18983.7789898807,19217.8587908168,20225.710240328,20582.2523679391,21015.9257556815,21095.7354216286,19471.5023678685,21123.6718346798,23900.3799175672,..
Mexico,MEX,Government Effectiveness: Estimate,GE.EST,0.134463101625443,0.11785764247179,0.027869176119566,-0.0653397589921951,-0.292913615703583,-0.306652963161469,-0.269939869642258,-0.342298775911331,-0.280898958444595,..
Nicaragua,NIC,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,7.36072090749278,7.76904449350921,3.46102971823285,2.63200619947419,-7.1143962178558,-2.61460563443291,-3.47676880295781,-0.297996860159003,..,..
Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.766443602468546,0.839345517843812,0.846846296935392,0.837724433734761,0.764549887382264,0.770101819888702,0.678252104273379,..,..,..
Nicaragua,NIC,Control of Corruption: Estimate,CC.EST,-0.887117862701416,-0.907132387161255,-0.896797239780426,-0.895876169204712,-1.02382683753967,-1.03205943107605,-1.1801438331604,-1.25470376014709,-1.28731179237366,..
Nicaragua,NIC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.68494101726,2025.32143224265,2087.69341684857,2153.59760576083,2052.14140413641,1965.27225005465,1904.27888558464,2072.28156848634,2119.72620568009,..
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4951.68867450282,5319.83188779857,5738.2217395246,6067.52953852854,5779.70699947814,5819.31518544463,6073.94056591991,6874.61550569295,7527.11328213419,..
Nicaragua,NIC,Government Effectiveness: Estimate,GE.EST,-0.8365478515625,-0.862045407295227,-0.737471163272858,-0.669614672660828,-0.81227046251297,-0.77734512090683,-0.679471909999847,-0.884373903274536,-1.03581631183624,..
Panama,PAN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..
Panama,PAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.76643678385556,2.68123188224505,2.64568083736678,2.47466896871459,2.38131879080632,3.09505043316861,2.23144302481653,..,..,..
Panama,PAN,Control of Corruption: Estimate,CC.EST,-0.369681090116501,-0.434625327587128,-0.573594987392426,-0.613254487514496,-0.610022246837616,-0.643557012081146,-0.584034085273743,-0.591235816478729,-0.634607255458832,..
Panama,PAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13155.4536690823,13669.5594424097,14099.9363298872,14634.8425091306,14922.129988894,15166.8809024504,12307.2592047015,14069.8794147746,15388.0558648904,..
Panama,PAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24545.034143925,27409.2431166347,30427.0940939236,33628.2268409548,32473.0815202922,33229.4960261777,27022.6390129774,30895.8322499594,36169.4838759907,..
Panama,PAN,Government Effectiveness: Estimate,GE.EST,0.278234988451004,0.278421342372894,0.153594180941582,0.0280486550182104,0.0126904994249344,0.0999356582760811,0.164778679609299,0.124233782291412,-0.127450808882713,..
Paraguay,PRY,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,5.76305159027919,0.682702862435917,4.79546399656937,3.91322156729734,1.00167883824136,-1.80843337786092,-2.07773385987956,5.36454210605966,..,..
Paraguay,PRY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.924028534552806,1.03068169862171,1.14776478210326,1.24632517460731,1.29748167406657,1.24066887329392,1.14459119207034,..,..,..
Paraguay,PRY,Control of Corruption: Estimate,CC.EST,-1.0106920003891,-1.01829671859741,-0.762674689292908,-0.750454783439636,-0.870616137981415,-0.893414497375488,-0.857943475246429,-1.02597737312317,-1.09022343158722,..
Paraguay,PRY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5774.58347856179,5861.40189546648,6025.09676890452,6226.6854198333,6338.51367820775,6229.22489536642,6095.39137530699,6259.73873939872,6193.37461221618,..
Paraguay,PRY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12563.7909365412,12640.3776225811,13291.9381018171,13940.51795585,14104.1015852733,14117.1650851672,14276.5455735658,15361.0847494949,16268.2958367534,..
Paraguay,PRY,Government Effectiveness: Estimate,GE.EST,-0.937642991542816,-0.998269379138947,-0.821773171424866,-0.841677308082581,-0.604826033115387,-0.576705813407898,-0.56505823135376,-0.655436873435974,-0.613315761089325,..
Peru,PER,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.57339233018745,1.39969300790024,0.241282884119471,1.00012395743047,1.04213555568849,3.94299918830492,-11.3767275030056,2.57689011056199,..,..
Peru,PER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.75159405113357,1.7763005780535,1.8263804846975,1.71724301281113,1.69513088210562,1.73564177469023,1.39856601861908,..,..,..
Peru,PER,Control of Corruption: Estimate,CC.EST,-0.599589347839355,-0.603387415409088,-0.429547399282455,-0.561924517154694,-0.597704648971558,-0.509206771850586,-0.524174213409424,-0.653225958347321,-0.807577431201935,..
Peru,PER,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6056.03375673421,6180.11926810233,6337.5804925458,6400.03823201922,6530.42299765457,6550.44801531118,5754.31060852027,6446.89373888097,6554.96105928135,..
